Archivo,Predicción
0bfe45d7cdf64e658365967bb0ed5d4f_20230411t16_25_utc.txt,Neutral
10d53beec5984c158fbcab952c29f840_20230411t22_04_utc.txt,Neutral
141dd6fc6ad145648eeb603c4f0b4430_20230411t22_23_utc.txt,Neutral
1744acda8b4b4e948c9f891a34c5171c_20230411t13_59_utc.txt,Neutral
180fad9aa3b44fdd96202951dcad860e_20230411t15_57_utc.txt,Neutral
1841240ff1ab4df696c76987b97d4068_20230411t16_35_utc.txt,Neutral
1cc50562b323469e9713471c3d7b3482_20230411t15_57_utc.txt,Neutral
2a66fed04e2041a59bcc3ac6d68949ea_20230411t15_37_utc.txt,Neutral
2e89b588c9c04e96a1b5a67f7a2b9aa8_20230411t19_13_utc.txt,Neutral
33b9ce2f992b43dbb9e64ddb24fc5538_20230411t15_02_utc.txt,Negativo
34093c6f878446629522fd815d240e6a_20230411t22_08_utc.txt,Neutral
349349d7b0a64b3c81b973a1bbc000ae_20230411t23_07_utc.txt,Neutral
37acf02575134cbf8c8444808b4d76bb_20230411t16_35_utc.txt,Neutral
3aa55085a0e04782864dbcdbbbf2d76b_20230411t20_15_utc.txt,Neutral
4cf5489d9c064df4a6305fd2435879bc_20230411t19_32_utc.txt,Neutral
57f1755ab61c44fdafe3b473d3df08ed_20230411t19_16_utc.txt,Neutral
58c51addf9e44d26ad0bf0031c087a77_20230411t21_10_utc.txt,Neutral
5a12c09f62994346bd43e6e707085aab_20230411t19_17_utc.txt,Neutral
5bc3093bce5548c290343b5f4ea53ce8_20230411t14_01_utc.txt,Neutral
64b025800d9040f1ae480187f9d244ac_20230411t23_33_utc.txt,Neutral
6637e4aaa7fe446c9bbc3e96aab42123_20230411t16_13_utc.txt,Neutral
680af94929c34de584fb901fb52b419b_20230411t15_32_utc.txt,Neutral
683e1909688846388623df81d7720006_20230411t23_17_utc.txt,Neutral
6c68bb726f4040e5b42843678b1b6c14_20230411t16_30_utc.txt,Neutral
6c91167c994147e4b1406a25f8f568cc_20230411t21_11_utc.txt,Neutral
6ce2f828120e4c0caa2b04f92bd3bf7b_20230411t21_49_utc.txt,Neutral
707aa05542fc4df6ac781d565f9c3178_20230411t15_15_utc.txt,Neutral
713f4625a49c4f8e8bc31c34fe8eba21_20230411t16_54_utc.txt,Neutral
73413f991767446fae4d8a1c2e9a4753_20230411t14_29_utc.txt,Neutral
77dc4488e978488482aa79d5b5197056_20230411t13_49_utc.txt,Neutral
79b85f0e973f439594c99afa75c61c8a_20230411t13_57_utc.txt,Neutral
816ecbb47ba9459381b5a5957de2bc8c_20230411t16_42_utc.txt,Neutral
81fdd597ac2048adab5cfe2b0b2f10c7_20230411t16_46_utc.txt,Neutral
8a6fbb5459994708b1f400bfb4e8fe37_20230411t21_14_utc.txt,Neutral
8c649d0776434bd2a49a06abe02085aa_20230411t17_35_utc.txt,Neutral
911afd33fd7a4131a8c5af48cde00ea7_20230411t15_46_utc.txt,Neutral
94387e7723434f96821b3b4eaec26f8e_20230411t23_06_utc.txt,Neutral
954e1ba497d94c8789f77118f1c8a9f2_20230411t17_24_utc.txt,Neutral
9ba113e3c4ac4616acdc9d7935a3fe6d_20230411t15_45_utc.txt,Neutral
9e24c2bf682742048e27d07442904de4_20230411t17_38_utc.txt,Neutral
a1dd5230a14a4ceb8b8a4125c4983d6c_20230411t20_43_utc.txt,Neutral
a7c7f3ff0a2f417892dee58b75687c66_20230411t21_16_utc.txt,Neutral
ac1bd4f12ad640e9a644a1df7e25d803_20230411t17_35_utc.txt,Neutral
b06c1e985435423eb476f94e89b923a9_20230411t16_27_utc.txt,Neutral
b31710b0cebf47dba2db6cbe9b474328_20230411t15_12_utc.txt,Neutral
bb6c44d18ae84b23b86f5e7e6a6f7153_20230411t14_14_utc.txt,Neutral
bc593734c3e0422da39e8f1683500169_20230411t16_51_utc.txt,Neutral
bdfc7cce1b0a47dbb400941ed1f8567d_20230411t21_44_utc.txt,Neutral
c2ec48932b7a41e19bf7463c60ed5443_20230411t14_27_utc.txt,Neutral
